Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2009,2.57,0.26,,6.6,6.87,5.89,4.14,6.35,4.9,,4.22,7.58
2010,2.3,,5.2,,2.22,0.77,,6.52,3.63,9.64,1.79,2.43
2011,2.4,2.76,,,4.08,,,13.07,,3.47,,4.41
2012,1.51,,,2.55,3.72,5.28,5.72,,2.51,10.25,0.86,3.74
2013,3.96,1.89,2.56,2.61,,,2.92,2.79,1.6,,2.86,5.35
2014,2.75,4.59,4.81,5.94,7.49,5.34,,,2.27,3.22,3.7,3.41
2015,,2.33,5.12,3.4,2.69,,5.81,3.95,,,3.08,6.81
2016,3.69,,1.96,1.61,6.21,4.04,5.02,3.8,5.61,1.05,0.78,3.42
2017,,,2.71,4.09,5.66,1.17,6.23,6.07,2.31,4.08,1.92,0.98
2018,1.15,5.19,3.05,3.94,8.06,4.21,,,,2.92,8.86,6.16
2019,4.13,3.71,5.52,2.51,7.75,,,4.27,0.15,6.14,2.27,3.68
2020,3.4,,3,6.28,3.71,3.39,6.29,7.5,4.37,4.21,3.04,6.52
2021,1.64,4.63,4.39,2.85,,7.88,4.18,5.39,5.71,4.42,1.39,0.7
2022,2.99,2.31,2.01,4.12,6.34,,4.8,7.72,3.51,5.95,2.52,4.66
2023,2.13,,1.82,4.17,0.99,,6.24,,6.14,1.24,3.26,
2024,,1.88,,3.84,4.08,2.29,3.83,7.08,3.46,0.51,2.19,2.93
