county,rate,year
Boulder,4.034535158,2011
Boulder,4.079100661,2012
Boulder,3.792547926,2013
Boulder,6.290257722,2014
Boulder,4.75554403,2015
Boulder,5.67667787,2016
Boulder,3.509452842,2017
Boulder,5.07284974,2018
Boulder,3.706147494,2019
Boulder,3.641104794,2020
Boulder,5.512484465,2021
Boulder,5.484898507,2022
Denver,7.114236027,2011
Denver,6.793702395,2012
Denver,2.945863431,2013
Denver,3.556912499,2014
Denver,3.843781154,2015
Denver,6.182937234,2016
Denver,3.315020838,2017
Denver,5.805259516,2018
Denver,4.537265998,2019
Denver,4.422048886,2020
Denver,3.84747781,2021
Denver,6.475106589,2022
