county,rate,lower95cl,upper95cl,visits,year
Statewide,6.514945036,5.796589743,7.233300329,323,2011
Statewide,6.583569927,5.875107098,7.292032756,339,2012
Statewide,5.823446459,5.159864572,6.487028346,302,2013
Statewide,4.442144749,3.869291725,5.014997774,237,2014
Statewide,6.554547936,5.862667787,7.246428085,355,2015
Statewide,8.456524074,7.678571993,9.234476156,467,2016
Statewide,5.676163406,5.048105431,6.304221381,323,2017
Statewide,7.887310141,7.152143089,8.622477193,456,2018
Statewide,6.762752232,6.080800082,7.444704381,389,2019
Statewide,5.050740169,4.47115269,5.630327647,302,2020
Statewide,7.05443959,6.372133869,7.73674531,425,2021
Statewide,8.195835792,7.460658898,8.931012686,494,2022
Adams,6.729917655,4.223059376,9.236775934,29,2011
Adams,4.843983212,2.84893747,6.839028955,23,2012
Adams,6.836648236,4.35973518,9.313561292,31,2013
Adams,3.080949839,1.711087221,4.846995946,15,2014
Adams,3.356537988,1.892911591,5.232461331,16,2015
Adams,8.84850373,6.124961246,11.57204621,42,2016
Adams,6.634644436,4.292045516,8.977243356,32,2017
Adams,7.105566828,4.772990008,9.438143648,37,2018
Adams,6.761452008,4.528807297,8.994096718,36,2019
Adams,4.758211201,2.818594552,6.697827849,24,2020
Adams,6.931533762,4.611049427,9.252018098,35,2021
Adams,8.228158328,5.809519746,10.64679691,45,2022
Arapahoe,5.825223336,3.81861711,7.831829562,33,2011
Arapahoe,4.74912683,2.940135948,6.558117711,27,2012
Arapahoe,3.580914014,2.000522993,5.161305036,20,2013
Arapahoe,,,,,2014
Arapahoe,4.799849008,3.085568139,6.514129877,31,2015
Arapahoe,6.277862897,4.287310679,8.268415115,39,2016
Arapahoe,2.618504541,1.479302646,4.077627338,16,2017
Arapahoe,4.988529272,3.289412054,6.687646491,34,2018
Arapahoe,4.829324314,3.106767831,6.551880796,31,2019
Arapahoe,2.269218291,1.280702341,3.535820754,16,2020
Arapahoe,4.443234725,2.824751779,6.061717671,30,2021
Arapahoe,5.827256214,3.973461546,7.681050882,39,2022
Boulder,4.034535158,2.052591184,6.674967063,12,2011
Boulder,4.079100661,2.150140918,6.615393027,13,2012
Boulder,3.792547926,1.903132856,6.322454414,12,2013
Boulder,6.290257722,3.711340897,9.538429265,19,2014
Boulder,4.75554403,2.565740562,7.609785535,14,2015
Boulder,5.67667787,3.313322405,8.665886852,18,2016
Boulder,3.509452842,1.772095031,5.830437997,12,2017
Boulder,5.07284974,2.939247858,7.779146934,18,2018
Boulder,3.706147494,1.926632284,6.058060921,13,2019
Boulder,3.641104794,1.856410114,6.016874149,12,2020
Boulder,5.512484465,3.254009831,8.356524321,19,2021
Boulder,5.484898507,3.228965052,8.328739682,19,2022
Costilla,0,0,0,0,2011
Costilla,0,0,0,0,2012
Costilla,0,0,0,0,2013
Costilla,0,0,0,0,2014
Costilla,0,0,0,0,2015
Costilla,0,0,0,0,2016
Costilla,0,0,0,0,2017
Costilla,0,0,0,0,2018
Costilla,0,0,0,0,2019
Costilla,0,0,0,0,2020
Costilla,0,0,0,0,2021
