rate,lower95cl,upper95cl,visits,year
6.514945036,5.796589743,7.233300329,323,2011
6.583569927,5.875107098,7.292032756,339,2012
5.823446459,5.159864572,6.487028346,302,2013
4.442144749,3.869291725,5.014997774,237,2014
6.554547936,5.862667787,7.246428085,355,2015
8.456524074,7.678571993,9.234476156,467,2016
5.676163406,5.048105431,6.304221381,323,2017
7.887310141,7.152143089,8.622477193,456,2018
6.762752232,6.080800082,7.444704381,389,2019
5.050740169,4.47115269,5.630327647,302,2020
7.05443959,6.372133869,7.73674531,425,2021
8.195835792,7.460658898,8.931012686,494,2022
