"","CensusTract","CaliforniaCounty","ZIP","Longitude","Latitude","ApproxLocation","CES4.0Score","CES4.0Percentile","CES4.0PercRange","Ozone","OzonePctl","PM2.5","PM2.5.Pctl","DieselPM","DieselPMPctl","DrinkingWater","DrinkingWaterPctl","Lead","LeadPctl","Pesticides","PesticidesPctl","ToxRelease","ToxReleasePctl","Traffic","TrafficPctl","CleanupSites","CleanupSitesPctl","GroundwaterThreats","GroundwaterThreatsPctl","HazWaste","HazWastePctl","ImpWaterBodies","ImpWaterBodiesPctl","SolidWaste","SolidWastePctl","PollutionBurden","PollutionBurdenScore","PollutionBurdenPctl","Asthma","AsthmaPctl","LowBirthWeight","LowBirthWeightPctl","CardiovascularDisease","CardiovascularDiseasePctl","TotalPop","ChildrenPercLess10","PopPerc10to64","ElderlyMore64","HispanicPerc","WhitePerc","AfAmericanPerc","NativeAmericanPerc","AsianAmericanPerc","OtherMultiplePerc","PopChar","PopCharScore","PopCharPctl","Education","EducationPctl","LinguisticIsol","LinguisticIsolPctl","Poverty","PovertyPctl","Unemployment","UnemploymentPctl","HousingBurden","HousingBurdenPctl"
"1",6001400100,"Alameda ",94704,-122.2319033,37.8675947,"Oakland",4.85,2.8,"1-5% (lowest scores)",0.029,3.12,8.953297225,36.27,0.093,34.76,110.41,4.21,15.25,7.74,0,0,626.7743327,56.03,965.9461667,55.94,9,58.17,12.25,52.42,2,92.52,2,23.88,1,35.72,34.02,4.15,26.62,15.65,4.44,3.85,23.06,5.24,1.42,3120,7.82,66.12,26.06,3.78,74.26,3.43,0,12.53,5.99,11.25,1.17,1.53,3.3,12.55,1.2,8.49,10.4,11.03,NA,NA,11.2,19.39
"2",6001400200,"Alameda ",94618,-122.2495763,37.848171,"Oakland",4.88,2.87,"1-5% (lowest scores)",0.029,3.12,9.298860476,41.97,0.591,92.71,110.41,4.21,61.71,68.2,0,0,609.9600016,55.43,716.822539,37.49,0,0,44.25,87.93,0.165,28.51,0,0,0,0,33.02,4.03,24.18,20.47,9.8,4.05,27.92,8.14,14.53,2007,10.46,66.32,23.22,8.67,73.49,2.59,0.2,8.52,6.53,11.67,1.21,1.65,0.4,0.42,0,0,10.6,11.44,3,17.11,4,0.67
"3",6001400300,"Alameda ",94618,-122.2544365,37.8405983,"Oakland",11.2,15.94,"15-20%",0.029,3.12,9.445812195,43.9,0.497,89.77,110.41,4.21,58.82,64.18,0,0,598.8776754,55.04,776.490765,42.48,0.9,11.83,38.55,85.29,0.595,74.07,0,0,0,0,36.64,4.47,33.37,30.88,26.57,3.78,21.62,8.88,20.11,5051,11.42,73.04,15.54,6.95,67.99,9.09,0,12.14,3.84,24.14,2.5,12.27,5.6,24.12,8,53.36,10.3,10.9,3.9,29.41,8.9,9.81
"4",6001400400,"Alameda ",94609,-122.2574628,37.8482107,"Oakland",12.39,18.97,"15-20%",0.029,3.12,9.369731128,42.81,0.327,79.1,110.41,4.21,60.88,67.08,0,0,624.6293233,55.9,721.5428013,38,0,0,60.5,92.56,0.315,51.89,0,0,0,0,33.82,4.13,26.24,49.61,55.98,4.44,37.02,8.08,14.28,4007,9.38,78.79,11.83,12.1,63.74,6.64,0.87,10.48,6.16,28.93,3,18.43,4.8,20.29,0.9,5.64,21.1,36.42,2.5,10.66,14.8,37.48
"5",6001400500,"Alameda ",94609,-122.2647445,37.8485167,"Oakland",16.73,29.74,"25-30%",0.029,3.12,9.369731128,42.81,0.233,67.58,110.41,4.21,61.56,67.95,0,0,641.7226664,56.48,862.26686,48.68,3.5,33.87,37,84.34,0.35,56.4,0,0,0,0,35.88,4.38,31.4,86.57,88.38,3.64,19,11.13,38.87,4124,9.12,81.96,8.92,9.46,45.44,21.39,0,11.34,12.37,36.83,3.82,30.16,2.3,7.4,1.7,13.3,21.9,38.13,3.8,28.2,14.8,37.48
"6",6001400600,"Alameda ",94609,-122.2648882,37.8419909,"Oakland",20.02,37.59,"35-40%",0.029,3.12,9.369731128,42.81,0.383,83.76,110.41,4.21,62.83,69.7,0,0,616.1283366,55.65,1164.215181,67.06,1.75,22.62,29.8,79.06,0.37,58.27,0,0,0,0,37.86,4.62,36.94,101.53,93.07,2.56,5.03,12.8,52.78,1745,9.97,81.43,8.6,7.51,49.28,20.52,0.17,10.54,11.98,41.76,4.33,37.7,2.8,9.73,1,6.27,16,24.42,7.5,71.67,18,54.07
"7",6001400700,"Alameda ",94608,-122.2723135,37.8417578,"Oakland",36.71,70.13,"70-75%",0.029,3.12,9.409114727,43.32,0.352,81.34,110.41,4.21,68.32,76.89,0,0,626.3293457,55.98,911.6008051,52.4,9.15,58.59,56.9,91.93,0.56,72.97,10,82.97,0,0,46.87,5.72,61.83,104.19,93.81,5.6,66.83,10.63,35.18,5128,7.62,82.45,9.93,19.38,38.28,28.24,0,6.42,7.68,61.84,6.42,68.46,NA,NA,4.8,36.46,33.2,58.91,7,67.48,22.1,70.81
"8",6001400800,"Alameda ",94608,-122.2833803,37.8454493,"Oakland",37.1,70.71,"70-75%",0.029,3.12,9.455344585,44.01,0.24,68.66,110.41,4.21,65.25,73.25,0,0,643.7006531,56.55,675.872715,34.21,47.25,95.33,150.55,98.27,2.88,95.78,10,82.97,0,0,48.49,5.92,66.45,116.58,95.63,7.44,93.38,10.99,37.67,4069,9.04,81.52,9.44,10.62,43.55,23.27,0.2,15.19,7.18,60.4,6.27,66.17,5.5,23.66,2.5,19.87,36,63.24,5.7,53.89,20.7,65.55
"9",6001400900,"Alameda ",94608,-122.2802437,37.8394669,"Oakland",40.71,76.15,"75-80%",0.029,3.12,9.455344585,44.01,0.35,81.12,110.41,4.21,77.1,86.67,0,0,607.7586772,55.23,590.0743735,27.58,21.95,83.58,114.1,97.26,1.05,85.72,10,82.97,0,0,48.46,5.92,66.41,119.2,95.81,7.89,96.02,11.18,39.32,2471,11.17,79.81,9.02,15.82,41.64,28.77,2.47,4.09,7.2,66.32,6.88,74.85,8.9,37.65,10.3,63.04,28.2,50.85,5.5,51.26,23.3,75.11
"10",6001401000,"Alameda ",94608,-122.2719625,37.831217,"Oakland",43.74,80.41,"80-85%",0.029,3.12,9.618671793,45.8,1.484,99.4,110.41,4.21,79.1,88.49,0,0,573.4333293,54.35,1454.943298,77.13,27.6,87.66,170.75,98.74,1.065,85.89,10,82.97,0,0,54.73,6.68,81.83,92.46,90.35,6.9,88.85,9.31,23.69,6133,9.96,80.61,9.42,18.72,33.44,30.36,0,8.27,9.21,63.1,6.55,70.27,16.2,58.15,8.1,53.86,27,48.58,5,44.35,28.5,87.88
