county,rate,lower95cl,upper95cl,visits,year,gender
Statewide,5.642730252,4.697641586,6.587818918,140,2011,Female
Statewide,7.386868299,6.298822406,8.474914192,183,2011,Male
Statewide,6.514945036,5.796589743,7.233300329,323,2011,Both genders
Statewide,5.641340892,4.715310573,6.567371211,146,2012,Female
Statewide,7.564397516,6.479708879,8.649086152,193,2012,Male
Statewide,6.583569927,5.875107098,7.292032756,339,2012,Both genders
Statewide,4.940380655,4.062533713,5.818227596,124,2013,Female
Statewide,6.717544422,5.718072347,7.717016496,178,2013,Male
Statewide,5.823446459,5.159864572,6.487028346,302,2013,Both genders
Statewide,3.524674652,2.795441777,4.253907527,92,2014,Female
Statewide,5.330719588,4.450501625,6.210937551,145,2014,Male
Statewide,4.442144749,3.869291725,5.014997774,237,2014,Both genders
Statewide,5.284243939,4.396447049,6.172040828,140,2015,Female
Statewide,7.792640963,6.732488248,8.852793678,215,2015,Male
Statewide,6.554547936,5.862667787,7.246428085,355,2015,Both genders
Statewide,6.317302106,5.3598926,7.274711611,172,2016,Female
Statewide,10.64921228,9.412978753,11.88544582,295,2016,Male
Statewide,8.456524074,7.678571993,9.234476156,467,2016,Both genders
Statewide,3.843863835,3.122554992,4.565172678,113,2017,Female
Statewide,7.534565741,6.498546905,8.570584578,210,2017,Male
Statewide,5.676163406,5.048105431,6.304221381,323,2017,Both genders
Statewide,5.667657165,4.781112482,6.554201847,163,2018,Female
Statewide,10.12914308,8.951317501,11.30696866,293,2018,Male
Statewide,7.887310141,7.152143089,8.622477193,456,2018,Both genders
Statewide,5.434728739,4.561649262,6.307808215,154,2019,Female
Statewide,8.053337572,7.007662586,9.099012558,235,2019,Male
Statewide,6.762752232,6.080800082,7.444704381,389,2019,Both genders
Statewide,3.51210544,2.827624968,4.196585911,105,2020,Female
Statewide,6.597209903,5.659542633,7.534877173,197,2020,Male
Statewide,5.050740169,4.47115269,5.630327647,302,2020,Both genders
Statewide,5.674628816,4.809452399,6.539805234,173,2021,Female
Statewide,8.410298316,7.355389398,9.465207235,252,2021,Male
Statewide,7.05443959,6.372133869,7.73674531,425,2021,Both genders
Statewide,6.192130742,5.282437014,7.101824471,185,2022,Female
Statewide,10.23653604,9.076752747,11.39631934,309,2022,Male
Statewide,8.195835792,7.460658898,8.931012686,494,2022,Both genders
Adams,7.596958419,4.383039444,11.68026088,17,2011,Female
Adams,5.831630726,2.941607455,9.693968294,12,2011,Male
Adams,6.729917655,4.223059376,9.236775934,29,2011,Both genders
Adams,,,,,2012,Female
Adams,5.481494001,2.89687114,8.87658742,13,2012,Male
Adams,4.843983212,2.84893747,6.839028955,23,2012,Both genders
Adams,6.2185011,3.367822117,9.928822625,14,2013,Female
Adams,7.912269589,4.393147862,12.44960565,17,2013,Male
Adams,6.836648236,4.35973518,9.313561292,31,2013,Both genders
Adams,,,,,2014,Female
Adams,,,,,2014,Male
Adams,3.080949839,1.711087221,4.846995946,15,2014,Both genders
Adams,,,,,2015,Female
Adams,,,,,2015,Male
Adams,3.356537988,1.892911591,5.232461331,16,2015,Both genders
Adams,6.161906917,3.350233756,9.816068112,14,2016,Female
Adams,11.67466944,7.181640703,16.16769818,28,2016,Male
Adams,8.84850373,6.124961246,11.57204621,42,2016,Both genders
Adams,4.68582808,2.314646988,7.879132018,11,2017,Female
Adams,8.474550109,4.726532113,12.2225681,21,2017,Male
Adams,6.634644436,4.292045516,8.977243356,32,2017,Both genders
Adams,6.386427072,3.619401408,9.926209399,16,2018,Female
Adams,7.713807914,4.367156249,11.06045958,21,2018,Male
Adams,7.105566828,4.772990008,9.438143648,37,2018,Both genders
Adams,6.644858728,3.85461669,10.18243184,17,2019,Female
Adams,6.775349495,4.060661261,10.17364518,19,2019,Male
Adams,6.761452008,4.528807297,8.994096718,36,2019,Both genders
Adams,,,,,2020,Female
Adams,6.058570011,3.327605632,9.594252101,15,2020,Male
Adams,4.758211201,2.818594552,6.697827849,24,2020,Both genders
Adams,7.351333433,4.408796625,11.03389187,19,2021,Female
Adams,6.552124899,3.69666796,10.21132959,16,2021,Male
Adams,6.931533762,4.611049427,9.252018098,35,2021,Both genders
Adams,6.698301517,3.949689454,10.16102319,18,2022,Female
Adams,9.825732044,6.102786431,13.54867766,27,2022,Male
Adams,8.228158328,5.809519746,10.64679691,45,2022,Both genders
Alamosa,0,0,0,0,2011,Female
Alamosa,0,0,0,0,2011,Male
Alamosa,0,0,0,0,2011,Both genders
Alamosa,0,0,0,0,2012,Female
Alamosa,0,0,0,0,2012,Male
Alamosa,0,0,0,0,2012,Both genders
Alamosa,,,,,2013,Female
Alamosa,0,0,0,0,2013,Male
Alamosa,,,,,2013,Both genders
Alamosa,0,0,0,0,2014,Female
Alamosa,0,0,0,0,2014,Male
Alamosa,0,0,0,0,2014,Both genders
Alamosa,0,0,0,0,2015,Female
Alamosa,,,,,2015,Male
Alamosa,,,,,2015,Both genders
Alamosa,0,0,0,0,2016,Female
Alamosa,,,,,2016,Male
Alamosa,,,,,2016,Both genders
Alamosa,0,0,0,0,2017,Female
Alamosa,,,,,2017,Male
Alamosa,,,,,2017,Both genders
