county,rate,lower95cl,upper95cl,visits,year,gender
Adams,7.596958419,4.383039444,11.68026088,17,2011,Female
Adams,,,,,2012,Female
Adams,6.2185011,3.367822117,9.928822625,14,2013,Female
Adams,,,,,2014,Female
Adams,,,,,2015,Female
Adams,6.161906917,3.350233756,9.816068112,14,2016,Female
Adams,4.68582808,2.314646988,7.879132018,11,2017,Female
Adams,6.386427072,3.619401408,9.926209399,16,2018,Female
Adams,6.644858728,3.85461669,10.18243184,17,2019,Female
Adams,,,,,2020,Female
Adams,7.351333433,4.408796625,11.03389187,19,2021,Female
Adams,6.698301517,3.949689454,10.16102319,18,2022,Female
Adams,5.831630726,2.941607455,9.693968294,12,2011,Male
Adams,5.481494001,2.89687114,8.87658742,13,2012,Male
Adams,7.912269589,4.393147862,12.44960565,17,2013,Male
Adams,,,,,2014,Male
Adams,,,,,2015,Male
Adams,11.67466944,7.181640703,16.16769818,28,2016,Male
Adams,8.474550109,4.726532113,12.2225681,21,2017,Male
Adams,7.713807914,4.367156249,11.06045958,21,2018,Male
Adams,6.775349495,4.060661261,10.17364518,19,2019,Male
Adams,6.058570011,3.327605632,9.594252101,15,2020,Male
Adams,6.552124899,3.69666796,10.21132959,16,2021,Male
Adams,9.825732044,6.102786431,13.54867766,27,2022,Male
Arapahoe,5.824394232,3.316677649,9.026570062,16,2011,Female
Arapahoe,4.201957857,2.153997993,6.922733035,12,2012,Female
Arapahoe,3.928061444,1.951659739,6.584065763,11,2013,Female
Arapahoe,,,,,2014,Female
Arapahoe,5.118596021,2.904401555,7.949835878,16,2015,Female
Arapahoe,5.623633315,3.323531508,8.518757506,18,2016,Female
Arapahoe,,,,,2017,Female
Arapahoe,3.664679835,1.925359504,5.954424114,13,2018,Female
Arapahoe,5.228931073,3.016904117,8.039288551,17,2019,Female
Arapahoe,,,,,2020,Female
Arapahoe,3.380357682,1.710051244,5.610254608,12,2021,Female
Arapahoe,4.200031321,2.314384186,6.63828137,15,2022,Female
Arapahoe,5.691579606,3.306085498,8.714417852,17,2011,Male
Arapahoe,5.174244263,2.884194077,8.122483931,15,2012,Male
Arapahoe,,,,,2013,Male
Arapahoe,,,,,2014,Male
Arapahoe,4.476032068,2.478747924,7.053768543,15,2015,Male
Arapahoe,7.181147787,4.04428702,10.31800855,21,2016,Male
Arapahoe,,,,,2017,Male
Arapahoe,6.288834921,3.568379026,9.009290817,21,2018,Male
Arapahoe,4.291183037,2.322992177,6.853322307,14,2019,Male
Arapahoe,3.274517048,1.600850931,5.536964448,11,2020,Male
Arapahoe,5.378542381,3.160895772,8.175990623,18,2021,Male
Arapahoe,7.481160467,4.461356492,10.50096444,24,2022,Male
Cheyenne,0,0,0,0,2011,Female
Cheyenne,0,0,0,0,2012,Female
Cheyenne,0,0,0,0,2013,Female
Cheyenne,0,0,0,0,2014,Female
Cheyenne,0,0,0,0,2015,Female
Cheyenne,0,0,0,0,2016,Female
Cheyenne,0,0,0,0,2017,Female
Cheyenne,,,,,2018,Female
Cheyenne,0,0,0,0,2019,Female
Cheyenne,,,,,2020,Female
Cheyenne,0,0,0,0,2021,Female
Cheyenne,0,0,0,0,2022,Female
Cheyenne,0,0,0,0,2011,Male
Cheyenne,0,0,0,0,2012,Male
Cheyenne,0,0,0,0,2013,Male
Cheyenne,0,0,0,0,2014,Male
Cheyenne,0,0,0,0,2015,Male
Cheyenne,0,0,0,0,2016,Male
Cheyenne,0,0,0,0,2017,Male
Cheyenne,,,,,2018,Male
Cheyenne,0,0,0,0,2019,Male
Cheyenne,0,0,0,0,2020,Male
Cheyenne,0,0,0,0,2021,Male
Cheyenne,,,,,2022,Male
Denver,5.219075478,2.931619428,8.155349208,16,2011,Female
Denver,5.990977575,3.489900069,9.156790627,18,2012,Female
Denver,,,,,2013,Female
Denver,,,,,2014,Female
Denver,,,,,2015,Female
Denver,4.022507288,2.071287479,6.610461314,13,2016,Female
Denver,3.561593173,1.818776978,5.880241968,13,2017,Female
Denver,3.763202539,1.971706087,6.124046222,13,2018,Female
Denver,3.307076282,1.66373365,5.505445534,12,2019,Female
Denver,3.072440809,1.544655094,5.116728214,12,2020,Female
Denver,,,,,2021,Female
Denver,5.464217829,3.167104336,8.377520207,18,2022,Female
Denver,9.424576259,5.61775771,13.23139481,26,2011,Male
Denver,7.890321008,4.466438802,11.31420322,22,2012,Male
Denver,,,,,2013,Male
Denver,5.730704869,3.349523115,8.740827196,19,2014,Male
Denver,4.626095936,2.556583878,7.299142012,16,2015,Male
Denver,8.50636609,5.298048978,11.7146832,30,2016,Male
Denver,3.152883133,1.503509565,5.402624783,11,2017,Male
Denver,7.979898483,4.998318366,10.9614786,30,2018,Male
Denver,5.759438482,3.254969119,8.263907845,22,2019,Male
Denver,5.936864632,3.340724759,8.533004505,22,2020,Male
Denver,5.384262843,2.962048358,7.806477327,20,2021,Male
Denver,7.448053408,4.627825246,10.26828157,29,2022,Male
El Paso,5.676177781,3.279353169,8.71973895,17,2011,Female
El Paso,,,,,2012,Female
El Paso,,,,,2013,Female
El Paso,3.503610657,1.739937667,5.874152525,11,2014,Female
El Paso,3.943856415,2.010249072,6.518095522,12,2015,Female
El Paso,3.791390843,2.04649338,6.065335836,14,2016,Female
El Paso,,,,,2017,Female
