year,quarter,pop_on_sampled_PWS,pop_0-3ug/L,pop_>3-5ug/L,pop_>5-10ug/L,pop_>10-20ug/L,pop_>20ug/L,pop_on_PWS_with_non-detect,pop_exposed_to_exceedances,perc_pop_exposed_to_exceedances
1999,Q1,106720,67775,0,32,0,0,38913,0,0
1999,Q2,85541,55476,0,212,60,0,29793,60,0.1
1999,Q3,559137,319252,231186,212,0,0,8487,0,0
1999,Q4,26995,25969,420,0,0,0,606,0,0
2000,Q1,34793,5904,0,92,0,0,28797,0,0
2000,Q2,184521,157396,0,32,0,0,27093,0,0
2000,Q3,42081,20407,345,0,0,0,21329,0,0
2000,Q4,407219,358828,995,412,0,0,46984,0,0
2001,Q1,90054,49552,150,0,0,0,40352,0,0
2001,Q2,83521,43633,2536,90,0,0,37262,0,0
2001,Q3,334371,324575,421,882,0,0,8493,0,0
2001,Q4,239757,80904,18593,1359,307,0,138594,307,0.1
2002,Q1,293486,223488,1474,28677,119,721,39007,840,0.3
2002,Q2,2954683,2038620,499278,62562,8848,601,344774,9449,0.3
2002,Q3,2685579,2190165,110861,20831,2341,207,361174,2548,0.1
2002,Q4,2379372,924490,614761,56858,2263,802,780198,3065,0.1
2003,Q1,1473586,743676,323767,32279,1596,2297,369971,3893,0.3
2003,Q2,2734328,1891429,566856,108650,3663,496,163234,4159,0.2
2003,Q3,3144777,2638868,82530,63396,1922,802,357259,2724,0.1
2003,Q4,2496006,1465842,557042,137946,2682,1087,331407,3769,0.2
2004,Q1,1272283,486491,529354,47525,1464,1202,206247,2666,0.2
2004,Q2,3262895,2277936,525333,20170,2272,852,436332,3124,0.1
2004,Q3,2605305,1692815,52559,40386,2168,496,816881,2664,0.1
2004,Q4,2264628,1246256,528091,51004,2945,1152,435180,4097,0.2
2005,Q1,1335493,401067,501164,27883,1987,1152,402240,3139,0.2
2005,Q2,3055720,2160903,530583,30765,2049,496,330924,2545,0.1
2005,Q3,2821154,1838082,368932,48920,2478,496,562246,2974,0.1
2005,Q4,2281948,1268209,498809,90106,2060,1152,421612,3212,0.1
2006,Q1,1380659,290732,797514,34029,1810,1225,255349,3035,0.2
2006,Q2,2785034,1595232,509584,104104,2410,146,573558,2556,0.1
2006,Q3,3118221,2252340,45167,132353,2078,496,685787,2574,0.1
2006,Q4,2023323,965922,483245,48640,1737,569,523210,2306,0.1
2007,Q1,1560424,645424,477920,89248,2116,219,345497,2335,0.1
2007,Q2,2575312,1394348,550552,30487,1863,146,597916,2009,0.1
2007,Q3,3444028,2988032,38611,31522,1331,146,384386,1477,0
2007,Q4,1594135,795747,275372,266792,1696,146,254382,1842,0.1
2008,Q1,1131987,267132,541089,22449,1849,146,299322,1995,0.2
2008,Q2,3015513,2101062,484042,27922,1675,81,400731,1756,0.1
2008,Q3,2906120,2115517,274199,34737,1326,0,480341,1326,0
2008,Q4,1840847,1013340,244444,62643,1687,146,518587,1833,0.1
2009,Q1,901480,362869,243789,31067,1487,146,262122,1633,0.2
2009,Q2,3293257,2394997,475440,32997,1337,0,388486,1337,0
2009,Q3,2911869,2210571,270740,28368,1543,0,400647,1543,0.1
2009,Q4,1710589,1112235,328108,57509,1413,0,211324,1413,0.1
2010,Q1,1068050,399128,505542,31637,1387,0,130356,1387,0.1
2010,Q2,3347912,2221945,496209,16492,1009,0,612257,1009,0
2010,Q3,3137106,2591379,47929,37430,1247,0,459121,1247,0
2010,Q4,1725129,902088,493626,20567,1857,0,306991,1857,0.1
2011,Q1,1269070,268582,471682,25681,1118,0,502007,1118,0.1
2011,Q2,3509385,2451520,482557,89879,1587,400,483442,1987,0.1
2011,Q3,2771482,2191557,281474,19892,1210,0,277349,1210,0
2011,Q4,1735117,1297639,250079,41509,1104,0,144786,1104,0.1
2012,Q1,1295065,533844,466168,21291,1459,0,272303,1459,0.1
2012,Q2,3500083,2208867,791412,29311,1129,0,469364,1129,0
2012,Q3,2736976,2141375,272063,21317,889,0,301332,889,0
2012,Q4,2840849,2129645,249802,38426,4306,0,418670,4306,0.2
2013,Q1,1124733,535038,232782,52029,558,0,304326,558,0
2013,Q2,3134328,1526547,556422,32598,1648,0,1017113,1648,0.1
2013,Q3,3102761,2137918,420252,16417,721,0,527453,721,0
2013,Q4,1857918,1298965,345747,59396,856,0,152954,856,0
2014,Q1,955111,298070,485440,18581,1727,0,151293,1727,0.2
2014,Q2,2606754,1843289,251923,26976,808,0,483758,808,0
2014,Q3,3034885,2315815,269818,35163,693,0,413396,693,0
2014,Q4,1925989,1309059,261051,36576,781,0,318522,781,0
2015,Q1,1132105,287512,463279,19270,1295,0,360749,1295,0.1
2015,Q2,3285109,2141432,875857,41439,1044,0,225337,1044,0
2015,Q3,3363082,1634850,305571,23021,1194,0,1398446,1194,0
2015,Q4,2389148,1188538,253636,36611,1288,0,909075,1288,0.1
2016,Q1,987740,413795,476226,28537,1796,0,67386,1796,0.2
2016,Q2,3414743,2377389,643866,101543,805,0,291140,805,0
2016,Q3,2592034,1723629,273770,18203,1724,0,574708,1724,0.1
2016,Q4,1527258,758942,338866,48901,945,0,379604,945,0.1
2017,Q1,898467,285921,475635,21706,535,0,114670,535,0.1
2017,Q2,3087660,1733145,498336,27889,803,0,827487,803,0
2017,Q3,2956960,2076195,271749,16884,1125,0,591007,1125,0
2017,Q4,1948703,1426770,252821,30332,1321,0,237459,1321,0.1
2018,Q1,2446457,587438,938188,28500,599,0,891732,599,0
2018,Q2,2896765,2351562,354046,28762,696,0,161699,696,0
2018,Q3,3144657,2381418,290864,16038,1205,0,455132,1205,0
2018,Q4,2906681,1950325,506667,18103,1334,0,430252,1334,0
2019,Q1,1589421,849803,501707,28512,537,0,208862,537,0
2019,Q2,2907360,1927678,416514,31208,757,0,531203,757,0
2019,Q3,3184878,1975039,614619,20838,866,0,573516,866,0
2019,Q4,2804393,1878680,504833,27742,720,0,392418,720,0
2020,Q1,1588986,702797,579254,20580,3472,0,282883,3472,0.2
2020,Q2,3037609,1471661,527013,19487,537,0,1018911,537,0
2020,Q3,3572219,2233819,424239,15757,187,0,898217,187,0
2020,Q4,1851570,950292,523078,17088,912,0,360200,912,0
