county,fips,description,pci,hu,munit,sngpnt,crowd,noveh,f_sngpnt,f_crowd,f_noveh
Clark,53011040101,"Census Tract 401.01, Clark County, Washington",27021,1767,6,52,114,110,0,0,0
Clark,53011040102,"Census Tract 401.02, Clark County, Washington",28694,1182,0,28,117,13,0,1,0
Clark,53011040201,"Census Tract 402.01, Clark County, Washington",38606,2430,0,103,25,58,0,0,0
Clark,53011040202,"Census Tract 402.02, Clark County, Washington",32070,1431,0,69,51,7,0,0,0
Clark,53011040203,"Census Tract 402.03, Clark County, Washington",33441,1990,0,52,64,59,0,0,0
Clark,53011040301,"Census Tract 403.01, Clark County, Washington",40783,737,0,37,21,41,0,0,0
Clark,53011040302,"Census Tract 403.02, Clark County, Washington",42532,3041,0,261,19,60,0,0,0
Clark,53011040403,"Census Tract 404.03, Clark County, Washington",43666,1639,0,21,10,19,0,0,0
Clark,53011040407,"Census Tract 404.07, Clark County, Washington",26155,2235,231,138,76,122,0,0,0
Clark,53011040408,"Census Tract 404.08, Clark County, Washington",42397,1269,8,14,28,32,0,0,0
Clark,53011040409,"Census Tract 404.09, Clark County, Washington",46912,791,0,24,6,6,0,0,0
Clark,53011040411,"Census Tract 404.11, Clark County, Washington",37962,1097,359,95,20,70,0,0,0
Clark,53011040412,"Census Tract 404.12, Clark County, Washington",41598,1890,164,102,38,15,0,0,0
Clark,53011040413,"Census Tract 404.13, Clark County, Washington",29873,1189,279,53,73,82,0,0,0
Clark,53011040414,"Census Tract 404.14, Clark County, Washington",25991,2014,119,170,39,73,0,0,0
Clark,53011040415,"Census Tract 404.15, Clark County, Washington",26862,1524,52,227,14,61,0,0,0
Clark,53011040416,"Census Tract 404.16, Clark County, Washington",42669,1216,0,46,29,0,0,0,0
Clark,53011040504,"Census Tract 405.04, Clark County, Washington",34887,1549,0,53,29,21,0,0,0
Clark,53011040505,"Census Tract 405.05, Clark County, Washington",43171,2069,29,86,71,32,0,0,0
Clark,53011040507,"Census Tract 405.07, Clark County, Washington",30203,887,66,101,26,23,0,0,0
Clark,53011040508,"Census Tract 405.08, Clark County, Washington",38051,2543,15,119,57,23,0,0,0
Clark,53011040509,"Census Tract 405.09, Clark County, Washington",31221,1337,38,89,69,108,0,0,0
Clark,53011040510,"Census Tract 405.10, Clark County, Washington",43715,2187,11,80,0,65,0,0,0
Clark,53011040511,"Census Tract 405.11, Clark County, Washington",53905,808,0,39,14,9,0,0,0
Clark,53011040603,"Census Tract 406.03, Clark County, Washington",44395,1731,10,62,34,31,0,0,0
Clark,53011040604,"Census Tract 406.04, Clark County, Washington",29568,1904,0,144,50,45,0,0,0
Clark,53011040605,"Census Tract 406.05, Clark County, Washington",40285,2054,164,134,13,42,0,0,0
Clark,53011040608,"Census Tract 406.08, Clark County, Washington",50932,1595,30,73,11,7,0,0,0
Clark,53011040609,"Census Tract 406.09, Clark County, Washington",49338,1620,17,120,31,15,0,0,0
Clark,53011040610,"Census Tract 406.10, Clark County, Washington",51403,1260,13,111,0,19,0,0,0
Clark,53011040703,"Census Tract 407.03, Clark County, Washington",26950,2299,0,212,25,0,0,0,0
Clark,53011040706,"Census Tract 407.06, Clark County, Washington",21962,1389,179,84,77,38,0,0,0
Clark,53011040707,"Census Tract 407.07, Clark County, Washington",28573,1141,7,86,55,50,0,0,0
Clark,53011040709,"Census Tract 407.09, Clark County, Washington",29395,1640,126,249,69,49,0,0,0
Clark,53011040710,"Census Tract 407.10, Clark County, Washington",32291,2665,357,104,98,120,0,0,0
Clark,53011040711,"Census Tract 407.11, Clark County, Washington",24018,1113,41,126,73,18,0,0,0
Clark,53011040712,"Census Tract 407.12, Clark County, Washington",29113,2055,0,197,80,14,0,0,0
Clark,53011040803,"Census Tract 408.03, Clark County, Washington",36259,1934,109,100,44,46,0,0,0
Clark,53011040805,"Census Tract 408.05, Clark County, Washington",38810,2677,127,139,52,100,0,0,0
Clark,53011040806,"Census Tract 408.06, Clark County, Washington",29749,1670,0,66,60,38,0,0,0
Clark,53011040808,"Census Tract 408.08, Clark County, Washington",28612,649,6,48,29,6,0,0,0
Clark,53011040809,"Census Tract 408.09, Clark County, Washington",36277,2229,302,127,60,30,0,0,0
Clark,53011040810,"Census Tract 408.10, Clark County, Washington",31513,1236,91,87,72,10,0,0,0
Clark,53011040904,"Census Tract 409.04, Clark County, Washington",31146,2517,437,284,40,107,0,0,0
Clark,53011040905,"Census Tract 409.05, Clark County, Washington",47165,1317,0,55,23,43,0,0,0
Clark,53011040907,"Census Tract 409.07, Clark County, Washington",57671,1952,0,117,0,0,0,0,0
Clark,53011040908,"Census Tract 409.08, Clark County, Washington",41670,2447,0,117,12,26,0,0,0
Clark,53011040909,"Census Tract 409.09, Clark County, Washington",43481,2266,104,42,0,48,0,0,0
Clark,53011040910,"Census Tract 409.10, Clark County, Washington",36761,1547,10,98,11,20,0,0,0
Clark,53011041003,"Census Tract 410.03, Clark County, Washington",40706,1705,166,105,51,53,0,0,0
Clark,53011041005,"Census Tract 410.05, Clark County, Washington",17617,1006,124,179,50,37,1,0,0
Clark,53011041007,"Census Tract 410.07, Clark County, Washington",32788,1425,99,123,56,0,0,0,0
Clark,53011041008,"Census Tract 410.08, Clark County, Washington",37558,1510,12,7,35,11,0,0,0
Clark,53011041009,"Census Tract 410.09, Clark County, Washington",26795,1790,446,255,30,141,0,0,0
Clark,53011041010,"Census Tract 410.10, Clark County, Washington",23943,1775,239,137,39,100,0,0,0
Clark,53011041011,"Census Tract 410.11, Clark County, Washington",30183,1335,85,91,17,32,0,0,0
Clark,53011041104,"Census Tract 411.04, Clark County, Washington",22189,1408,192,199,81,80,0,0,0
Clark,53011041105,"Census Tract 411.05, Clark County, Washington",33289,2198,92,109,10,35,0,0,0
Clark,53011041107,"Census Tract 411.07, Clark County, Washington",33495,1065,0,72,36,22,0,0,0
Clark,53011041108,"Census Tract 411.08, Clark County, Washington",29750,3315,1360,222,104,547,0,0,0
Clark,53011041110,"Census Tract 411.10, Clark County, Washington",30187,2494,205,221,96,33,0,0,0
Clark,53011041111,"Census Tract 411.11, Clark County, Washington",16399,1386,579,230,168,77,1,1,0
Clark,53011041112,"Census Tract 411.12, Clark County, Washington",29379,2573,617,186,83,181,0,0,0
Clark,53011041201,"Census Tract 412.01, Clark County, Washington",35616,3011,646,215,86,90,0,0,0
Clark,53011041203,"Census Tract 412.03, Clark County, Washington",27623,1968,210,168,48,98,0,0,0
Clark,53011041205,"Census Tract 412.05, Clark County, Washington",27707,2186,454,243,94,116,0,0,0
Clark,53011041206,"Census Tract 412.06, Clark County, Washington",28080,2126,89,192,100,29,0,0,0
Clark,53011041309,"Census Tract 413.09, Clark County, Washington",38588,2002,288,317,99,62,0,0,0
Clark,53011041310,"Census Tract 413.10, Clark County, Washington",46978,2517,291,108,49,298,0,0,0
Clark,53011041312,"Census Tract 413.12, Clark County, Washington",27049,1908,455,211,79,99,0,0,0
Clark,53011041313,"Census Tract 413.13, Clark County, Washington",21721,1073,357,164,14,67,0,0,0
Clark,53011041317,"Census Tract 413.17, Clark County, Washington",29748,2322,792,259,83,162,0,0,0
Clark,53011041318,"Census Tract 413.18, Clark County, Washington",26135,2097,264,205,47,52,0,0,0
Clark,53011041319,"Census Tract 413.19, Clark County, Washington",36945,2188,50,212,13,60,0,0,0
Clark,53011041320,"Census Tract 413.20, Clark County, Washington",24546,2301,245,239,109,59,0,0,0
Clark,53011041321,"Census Tract 413.21, Clark County, Washington",37994,1071,0,68,0,19,0,0,0
Clark,53011041322,"Census Tract 413.22, Clark County, Washington",23459,2032,751,204,122,221,0,0,0
Clark,53011041323,"Census Tract 413.23, Clark County, Washington",29230,2297,246,222,45,63,0,0,0
Clark,53011041325,"Census Tract 413.25, Clark County, Washington",45098,1990,0,93,0,21,0,0,0
Clark,53011041326,"Census Tract 413.26, Clark County, Washington",28218,828,0,70,35,14,0,0,0
Clark,53011041327,"Census Tract 413.27, Clark County, Washington",36628,2739,20,218,10,18,0,0,0
Clark,53011041328,"Census Tract 413.28, Clark County, Washington",39228,2580,445,271,60,80,0,0,0
Clark,53011041329,"Census Tract 413.29, Clark County, Washington",43004,2151,523,168,35,257,0,0,0
Clark,53011041330,"Census Tract 413.30, Clark County, Washington",27282,1636,0,132,123,7,0,0,0
Clark,53011041331,"Census Tract 413.31, Clark County, Washington",26051,1033,183,91,50,6,0,0,0
Clark,53011041332,"Census Tract 413.32, Clark County, Washington",29774,1297,0,141,5,0,0,0,0
Clark,53011041333,"Census Tract 413.33, Clark County, Washington",28816,1099,0,100,25,4,0,0,0
Clark,53011041400,"Census Tract 414, Clark County, Washington",39685,2355,44,198,0,40,0,0,0
Clark,53011041500,"Census Tract 415, Clark County, Washington",30319,1156,79,115,59,87,0,0,0
Clark,53011041600,"Census Tract 416, Clark County, Washington",20783,1385,379,250,69,297,1,0,0
Clark,53011041700,"Census Tract 417, Clark County, Washington",21742,1653,356,180,91,193,0,0,0
Clark,53011041800,"Census Tract 418, Clark County, Washington",23406,1737,40,169,104,59,0,0,0
Clark,53011041900,"Census Tract 419, Clark County, Washington",36846,1044,215,72,3,180,0,0,0
Clark,53011042000,"Census Tract 420, Clark County, Washington",32059,726,42,81,18,20,0,0,0
Clark,53011042100,"Census Tract 421, Clark County, Washington",35701,1359,28,64,52,111,0,0,0
Clark,53011042300,"Census Tract 423, Clark County, Washington",30689,1627,543,86,60,379,0,0,1
Clark,53011042400,"Census Tract 424, Clark County, Washington",25653,908,797,47,6,242,0,0,1
Clark,53011042500,"Census Tract 425, Clark County, Washington",45546,798,283,42,9,126,0,0,0
Clark,53011042600,"Census Tract 426, Clark County, Washington",44606,2950,1557,92,87,295,0,0,0
Clark,53011042700,"Census Tract 427, Clark County, Washington",21044,2211,458,132,159,292,0,0,0
Clark,53011042800,"Census Tract 428, Clark County, Washington",38611,1315,83,70,38,41,0,0,0
Clark,53011042900,"Census Tract 429, Clark County, Washington",33473,630,46,46,31,25,0,0,0
Clark,53011043000,"Census Tract 430, Clark County, Washington",27236,744,31,87,40,44,0,0,0
Clark,53011043100,"Census Tract 431, Clark County, Washington",45657,1759,125,135,39,59,0,0,0
King,53033000100,"Census Tract 1, King County, Washington",38131,4132,2555,141,186,709,0,0,0
King,53033000200,"Census Tract 2, King County, Washington",37334,3869,1374,246,175,234,0,0,0
King,53033000300,"Census Tract 3, King County, Washington",42137,1238,76,75,8,72,0,0,0
King,53033000401,"Census Tract 4.01, King County, Washington",35655,4069,2877,171,66,990,0,0,1
King,53033000402,"Census Tract 4.02, King County, Washington",47620,2493,953,92,32,432,0,0,0
King,53033000500,"Census Tract 5, King County, Washington",77318,1409,0,83,0,27,0,0,0
King,53033000600,"Census Tract 6, King County, Washington",36189,3638,1231,301,117,303,0,0,0
King,53033000700,"Census Tract 7, King County, Washington",37684,2403,904,92,72,275,0,0,0
King,53033000800,"Census Tract 8, King County, Washington",54582,1141,65,61,0,21,0,0,0
King,53033000900,"Census Tract 9, King County, Washington",70060,948,22,29,4,22,0,0,0
King,53033001000,"Census Tract 10, King County, Washington",40425,796,154,43,0,40,0,0,0
King,53033001100,"Census Tract 11, King County, Washington",41903,1089,117,66,32,68,0,0,0
King,53033001200,"Census Tract 12, King County, Washington",32003,3965,2773,274,299,799,0,0,0
King,53033001300,"Census Tract 13, King County, Washington",45565,2472,945,34,107,317,0,0,0
King,53033001400,"Census Tract 14, King County, Washington",49580,2443,501,115,20,185,0,0,0
King,53033001500,"Census Tract 15, King County, Washington",58790,1183,102,31,0,42,0,0,0
King,53033001600,"Census Tract 16, King County, Washington",63398,1915,134,87,10,88,0,0,0
King,53033001701,"Census Tract 17.01, King County, Washington",41609,2132,1103,145,17,371,0,0,0
King,53033001702,"Census Tract 17.02, King County, Washington",43788,2465,712,120,100,326,0,0,0
King,53033001800,"Census Tract 18, King County, Washington",48961,2417,275,113,57,122,0,0,0
King,53033001900,"Census Tract 19, King County, Washington",54707,2344,812,64,27,298,0,0,0
King,53033002000,"Census Tract 20, King County, Washington",54551,1683,353,77,0,134,0,0,0
King,53033002100,"Census Tract 21, King County, Washington",57042,1902,318,49,21,69,0,0,0
King,53033002200,"Census Tract 22, King County, Washington",71657,2444,249,103,0,101,0,0,0
King,53033002400,"Census Tract 24, King County, Washington",56329,1352,134,154,55,36,0,0,0
King,53033002500,"Census Tract 25, King County, Washington",52796,1343,107,19,60,87,0,0,0
King,53033002600,"Census Tract 26, King County, Washington",54079,2072,231,107,35,121,0,0,0
King,53033002700,"Census Tract 27, King County, Washington",64996,2479,206,86,20,57,0,0,0
King,53033002800,"Census Tract 28, King County, Washington",62650,2345,373,70,77,172,0,0,0
