earth_year, earth_date,mars_date,solar_day,max_ground_temp,min_ground_temp,max_air_temp,min_air_temp,mean_pressure,sunrise,sunset,UV_Radiation,weather
"2022","01-26 UTC","Mars, Month 6 - LS 163deg",3368,-3,-71,10,-84,707,5:25,17:20,moderate,Sunny
"2022","01-25 UTC","Mars, Month 6 - LS 163deg",3367,-3,-72,10,-87,707,5:25,17:20,moderate,Sunny
"2022","01-24 UTC","Mars, Month 6 - LS 162deg",3366,-4,-70,8,-81,708,5:25,17:21,moderate,Sunny
"2022","01-23 UTC","Mars, Month 6 - LS 162deg",3365,-6,-70,9,-91,707,5:26,17:21,moderate,Sunny
"2022","01-22 UTC","Mars, Month 6 - LS 161deg",3364,-7,-71,8,-92,708,5:26,17:21,moderate,Sunny
"2022","01-21 UTC","Mars, Month 6 - LS 161deg",3363,-8,-71,8,-80,707,5:26,17:21,moderate,Sunny
"2022","01-20 UTC","Mars, Month 6 - LS 160deg",3362,-4,-72,5,-84,706,5:26,17:21,moderate,Sunny
"2022","01-19 UTC","Mars, Month 6 - LS 160deg",3361,-6,-70,5,-73,705,5:26,17:21,moderate,Sunny
"2022","01-18 UTC","Mars, Month 6 - LS 159deg",3360,-6,-71,3,-89,707,5:27,17:21,moderate,Sunny
"2022","01-17 UTC","Mars, Month 6 - LS 158deg",3359,-9,-71,5,-80,708,5:27,17:21,moderate,Sunny
"2022","01-16 UTC","Mars, Month 6 - LS 158deg",3358,-6,-71,5,-88,706,5:27,17:21,moderate,Sunny
"2022","01-15 UTC","Mars, Month 6 - LS 157deg",3357,-7,-71,4,-88,706,5:27,17:21,moderate,Sunny
"2022","01-14 UTC","Mars, Month 6 - LS 157deg",3356,-6,-69,3,-86,706,5:27,17:21,moderate,Sunny
"2022","01-13 UTC","Mars, Month 6 - LS 156deg",3355,-5,-70,2,-85,706,5:28,17:21,moderate,Sunny
"2022","01-11 UTC","Mars, Month 6 - LS 155deg",3353,-14,-69,0,-77,705,5:28,17:21,moderate,Sunny
"2022","01-10 UTC","Mars, Month 6 - LS 155deg",3352,-16,-70,0,-82,706,5:28,17:22,moderate,Sunny
"2022","01-09 UTC","Mars, Month 6 - LS 154deg",3351,-16,-71,-1,-78,703S,5:29,17:22,moderate,Sunny
"2022","01-08 UTC","Mars, Month 6 - LS 154deg",3350,-20,-72,-7,-84,703,5:29,17:22,low,Sunny
"2022","01-07 UTC","Mars, Month 6 - LS 153deg",3349,-12,-72,-3,-79,702,5:29,17:22,moderate,Sunny
"2022","01-06 UTC","Mars, Month 6 - LS 153deg",3348,-12,-72,-1,-77,703,5:29,17:22,moderate,Sunny
"2022","01-05 UTC","Mars, Month 6 - LS 152deg",3347,-7,-72,3,-82,705,5:29,17:22,moderate,Sunny
"2022","01-04 UTC","Mars, Month 6 - LS 151deg",3346,-12,-72,3,-86,706,5:30,17:22,moderate,Sunny
"2022","01-03 UTC","Mars, Month 6 - LS 151deg",3345,-6,-73,7,-84,703,5:30,17:22,moderate,Sunny
"2021","12-20 UTC","Mars, Month 5 - LS 144deg",3332,-6,-73,7,-80,703,5:33,17:23,moderate,Sunny
"2021","12-19 UTC","Mars, Month 5 - LS 144deg",3331,-5,-73,3,-78,705,5:33,17:23,moderate,Sunny
"2021","12-18 UTC","Mars, Month 5 - LS 143deg",3330,-15,-74,1,-80,707,5:33,17:24,moderate,Sunny
"2021","12-17 UTC","Mars, Month 5 - LS 143deg",3329,-13,-76,5,-87,708,5:34,17:24,high,Sunny
"2021","12-16 UTC","Mars, Month 5 - LS 142deg",3328,-15,-76,7,-84,707,5:34,17:24,high,Sunny
"2021","12-15 UTC","Mars, Month 5 - LS 142deg",3327,-7,-75,6,-81,708,5:34,17:24,high,Sunny
"2021","12-14 UTC","Mars, Month 5 - LS 141deg",3326,-11,-70,10,-85,708,5:34,17:24,high,Sunny
"2021","12-13 UTC","Mars, Month 5 - LS 141deg",3325,-20,-98,10,-87,709,5:34,17:24,high,Sunny
"2021","12-12 UTC","Mars, Month 5 - LS 140deg",3324,-21,-73,7,-80,711,5:35,17:24,high,Sunny
"2021","12-11 UTC","Mars, Month 5 - LS 140deg",3323,-23,-74,6,-85,713,5:35,17:24,high,Sunny
"2021","12-10 UTC","Mars, Month 5 - LS 139deg",3322,-12,-76,8,-84,713,5:35,17:24,moderate,Sunny
"2021","12-09 UTC","Mars, Month 5 - LS 139deg",3321,-7,-77,7,-84,713,5:35,17:24,moderate,Sunny
"2021","12-08 UTC","Mars, Month 5 - LS 138deg",3320,-3,-75,7,-79,713,5:36,17:25,moderate,Sunny
"2021","12-07 UTC","Mars, Month 5 - LS 137deg",3319,-3,-77,8,-93,714,5:36,17:25,high,Sunny
"2021","12-06 UTC","Mars, Month 5 - LS 137deg",3318,-10,-75,1,-87,716,5:36,17:25,moderate,Sunny
"2021","12-05 UTC","Mars, Month 5 - LS 136deg",3317,-17,-74,1,-91,718,5:36,17:25,moderate,Sunny
"2021","12-04 UTC","Mars, Month 5 - LS 136deg",3316,-18,-74,2,-82,717,5:36,17:25,moderate,Sunny
"2021","12-03 UTC","Mars, Month 5 - LS 135deg",3315,-15,-75,2,-83,717,5:37,17:25,moderate,Sunny
"2021","12-02 UTC","Mars, Month 5 - LS 135deg",3314,-11,-75,2,-88,718,5:37,17:25,moderate,Sunny
"2021","12-01 UTC","Mars, Month 5 - LS 134deg",3313,-13,-73,4,-94,719,5:37,17:25,moderate,Sunny
"2021","11-30 UTC","Mars, Month 5 - LS 134deg",3312,-14,-76,8,-89,719,5:37,17:25,high,Sunny
"2021","11-29 UTC","Mars, Month 5 - LS 133deg",3311,-10,-76,6,-78,720,5:38,17:25,moderate,Sunny
"2021","11-28 UTC","Mars, Month 5 - LS 133deg",3310,-11,-76,6,-98,720,5:38,17:26,moderate,Sunny
"2021","11-27 UTC","Mars, Month 5 - LS 132deg",3309,-9,-75,5,-83,721,5:38,17:26,moderate,Sunny
"2021","11-26 UTC","Mars, Month 5 - LS 132deg",3308,-9,-76,5,-84,722,5:38,17:26,moderate,Sunny
"2021","11-25 UTC","Mars, Month 5 - LS 131deg",3307,-7,-66,5,-79,709,5:38,17:26,moderate,Sunny
"2021","11-22 UTC","Mars, Month 5 - LS 130deg",3305,-12,-76,5,-82,724,5:39,17:26,moderate,Sunny
"2021","11-21 UTC","Mars, Month 5 - LS 130deg",3304,-13,-77,4,-87,725,5:39,17:26,moderate,Sunny
"2021","11-20 UTC","Mars, Month 5 - LS 129deg",3303,-11,-77,5,-96,725,5:39,17:26,moderate,Sunny
"2021","11-19 UTC","Mars, Month 5 - LS 129deg",3302,-11,-76,3,-82,726,5:39,17:26,moderate,Sunny
"2021","11-18 UTC","Mars, Month 5 - LS 129deg",3301,-12,-76,5,-84,726,5:40,17:27,moderate,Sunny
"2021","11-17 UTC","Mars, Month 5 - LS 128deg",3300,-11,-76,4,-93,727,5:40,17:27,moderate,Sunny
"2021","11-16 UTC","Mars, Month 5 - LS 128deg",3299,-13,-77,4,-80,729,5:40,17:27,moderate,Sunny
"2021","11-15 UTC","Mars, Month 5 - LS 127deg",3298,-14,-74,4,-86,730,5:40,17:27,moderate,Sunny
"2021","11-14 UTC","Mars, Month 5 - LS 127deg",3297,-11,-78,3,-89,730,5:40,17:27,moderate,Sunny
"2021","11-13 UTC","Mars, Month 5 - LS 126deg",3296,-13,-76,3,-79,729,5:41,17:27,moderate,Sunny
"2021","11-12 UTC","Mars, Month 5 - LS 126deg",3295,-10,-76,2,-84,732,5:41,17:27,moderate,Sunny
"2021","11-11 UTC","Mars, Month 5 - LS 125deg",3294,-12,-76,3,-84,732,5:41,17:27,moderate,Sunny
"2021","11-10 UTC","Mars, Month 5 - LS 125deg",3293,-12,-76,2,-82,734,5:41,17:27,moderate,Sunny
"2021","11-09 UTC","Mars, Month 5 - LS 124deg",3292,-14,-76,3,-80,734,5:41,17:27,moderate,Sunny
"2021","11-08 UTC","Mars, Month 5 - LS 124deg",3291,-12,-77,3,-89,735,5:42,17:28,moderate,Sunny
"2021","11-07 UTC","Mars, Month 5 - LS 123deg",3290,-11,-77,2,-80,736,5:42,17:28,moderate,Sunny
"2021","11-06 UTC","Mars, Month 5 - LS 123deg",3289,-11,-78,3,-86,737,5:42,17:28,moderate,Sunny
"2021","11-05 UTC","Mars, Month 5 - LS 122deg",3288,-11,-77,1,-91,738,5:42,17:28,moderate,Sunny
"2021","11-04 UTC","Mars, Month 5 - LS 122deg",3287,-16,-77,2,-90,739,5:42,17:28,moderate,Sunny
"2021","11-03 UTC","Mars, Month 5 - LS 121deg",3286,-16,-78,4,-87,740,5:43,17:28,moderate,Sunny
"2021","11-02 UTC","Mars, Month 5 - LS 121deg",3285,-12,-76,2,-86,741,5:43,17:28,moderate,Sunny
"2021","11-01 UTC","Mars, Month 5 - LS 120deg",3284,-14,-78,3,-87,742,5:43,17:28,moderate,Sunny
"2021","10-31 UTC","Mars, Month 5 - LS 120deg",3283,-11,-78,3,-98,744,5:43,17:28,moderate,Sunny
"2021","10-30 UTC","Mars, Month 4 - LS 119deg",3282,-17,-77,4,-93,745,5:43,17:28,moderate,Sunny
"2021","10-29 UTC","Mars, Month 4 - LS 119deg",3281,-15,-77,2,-95,747,5:43,17:28,moderate,Sunny
"2021","10-28 UTC","Mars, Month 4 - LS 118deg",3280,-14,-77,-1,-85,747,5:44,17:29,moderate,Sunny
"2021","10-27 UTC","Mars, Month 4 - LS 118deg",3279,-15,-78,-1,-84,748,5:44,17:29,moderate,Sunny
"2021","10-26 UTC","Mars, Month 4 - LS 117deg",3278,-15,-79,-5,-96,749,5:44,17:29,moderate,Sunny
"2021","10-25 UTC","Mars, Month 4 - LS 117deg",3277,-20,-80,-6,-84,750,5:44,17:29,moderate,Sunny
