func,package,description
all.equal,base,"\code{all.equal(x, y)} is a utility to compare \R{} objects \code{x} and \code{y} testing `near equality'.  If they are different, comparison is still made to some extent, and a report of the differences is returned.    Do not use \code{all.equal} directly in \code{if} expressions---either use \code{isTRUE(all.equal(....))} or \code{\LinkA{identical}{identical}} if appropriate."
any,base,"Given a set of logical vectors, is at least one of the values true?"
as.character,base,"Create or test for objects of type \code{""character""}."
as.integer,base,"Creates or tests for objects of type \code{""integer""}."
as.logical,base,"Create or test for objects of type \code{""logical""}, and the basic logical constants."
as.numeric,base,"Creates or coerces objects of type \code{""numeric""}. \code{is.numeric} is a more general test of an object being interpretable as numbers."
c,base,"This is a generic function which combines its arguments.  The default method combines its arguments to form a vector. All arguments are coerced to a common type which is the type of the returned value, and all attributes except names are removed."
cbind,base,"Take a sequence of vector, matrix or data-frame arguments and combine by \emph{c}olumns or \emph{r}ows, respectively.  These are generic functions with methods for other \R{} classes."
class,base,\R{} possesses a simple generic function mechanism which can be used for an object-oriented style of programming.  Method dispatch takes place based on the class of the first argument to the generic function.
colMeans,base,Form row and column sums and means for numeric arrays (or data frames).
colnames,base,Retrieve or set the row or column names of a matrix-like object.
data.frame,base,"The function \code{data.frame()} creates data frames, tightly coupled collections of variables which share many of the properties of matrices and of lists, used as the fundamental data structure by most of \R{}'s modeling software."
date,base,Returns a character string of the current system date and time.
difftime,base,"Time intervals creation, printing, and some arithmetic.  The \code{\LinkA{print}{print}()} method calls these ``time differences''."
dim,base,Retrieve or set the dimension of an object.
expression,base,"Creates or tests for objects of mode and class \code{""expression""}."
factor,base,"The function \code{factor} is used to encode a vector as a factor (the terms `category' and `enumerated type' are also used for factors).  If argument \code{ordered} is \code{TRUE}, the factor levels are assumed to be ordered.  For compatibility with S there is also a function \code{ordered}.  \code{is.factor}, \code{is.ordered}, \code{as.factor} and \code{as.ordered} are the membership and coercion functions for these classes."
getwd,base,\code{getwd} returns an absolute filepath representing the current working directory of the \R{} process; \code{setwd(dir)} is used to set the working directory to \code{dir}.
grep,base,"\code{grep}, \code{grepl}, \code{regexpr}, \code{gregexpr},  \code{regexec} and \code{gregexec} search for matches to argument \code{pattern} within each element of a character vector: they differ in the format of and amount of detail in the results.  \code{sub} and \code{gsub} perform replacement of the first and all matches respectively."
gsub,base,"\code{grep}, \code{grepl}, \code{regexpr}, \code{gregexpr},  \code{regexec} and \code{gregexec} search for matches to argument \code{pattern} within each element of a character vector: they differ in the format of and amount of detail in the results.  \code{sub} and \code{gsub} perform replacement of the first and all matches respectively."
is.infinite,base,"\code{is.finite} and \code{is.infinite} return a vector of the same length as \code{x}, indicating which elements are finite (not infinite and not missing) or infinite.  \code{Inf} and \code{-Inf} are positive and negative infinity whereas \code{NaN} means `Not a Number'.  (These apply to numeric values and real and imaginary parts of complex values but not to values of integer vectors.)  \code{Inf} and \code{NaN} (as well as \code{\LinkA{NA}{NA}}) are \LinkA{reserved}{reserved} words in the \R{} language."
is.na,base,"\code{NA} is a logical constant of length 1 which contains a missing value indicator.  \code{NA} can be coerced to any other vector type except raw.  There are also constants \code{NA\_integer\_}, \code{NA\_real\_}, \code{NA\_complex\_} and \code{NA\_character\_} of the other atomic vector types which support missing values: all of these are \LinkA{reserved}{reserved} words in the \R{} language.  The generic function \code{is.na} indicates which elements are missing.  The generic function \code{is.na<-} sets elements to \code{NA}.  The generic function \code{anyNA} implements \code{any(is.na(x))} in a possibly faster way (especially for atomic vectors)."
is.nan,base,"\code{is.finite} and \code{is.infinite} return a vector of the same length as \code{x}, indicating which elements are finite (not infinite and not missing) or infinite.  \code{Inf} and \code{-Inf} are positive and negative infinity whereas \code{NaN} means `Not a Number'.  (These apply to numeric values and real and imaginary parts of complex values but not to values of integer vectors.)  \code{Inf} and \code{NaN} (as well as \code{\LinkA{NA}{NA}}) are \LinkA{reserved}{reserved} words in the \R{} language."
length,base,"Get or set the length of vectors (including lists) and factors, and of any other \R{} object for which a method has been defined."
levels,base,\code{levels} provides access to the levels attribute of a variable. The first form returns the value of the levels of its argument and the second sets the attribute.
library,base,\code{library} and \code{require} load and attach add-on packages.
list,base,"Functions to construct, coerce and check for both kinds of \R{} lists."
ls,base,"\code{ls} and \code{objects} return a vector of character strings giving the names of the objects in the specified environment.  When invoked with no argument at the top level prompt, \code{ls} shows what data sets and functions a user has defined.  When invoked with no argument inside a function, \code{ls} returns the names of the function's local variables: this is useful in conjunction with \code{browser}."
matrix,base,\code{matrix} creates a matrix from the given set of values.  \code{as.matrix} attempts to turn its argument into a matrix.  \code{is.matrix} tests if its argument is a (strict) matrix.
max,base,"Returns the (regular or \bold{p}arallel) maxima and minima of the input values.  \code{pmax*()} and \code{pmin*()} take one or more vectors as arguments, recycle them to common length and return a single vector giving the \emph{`parallel'} maxima (or minima) of the argument vectors."
mean,base,Generic function for the (trimmed) arithmetic mean.
min,base,"Returns the (regular or \bold{p}arallel) maxima and minima of the input values.  \code{pmax*()} and \code{pmin*()} take one or more vectors as arguments, recycle them to common length and return a single vector giving the \emph{`parallel'} maxima (or minima) of the argument vectors."
months,base,"Extract the weekday, month or quarter, or the Julian time (days since some origin).  These are generic functions: the methods for the internal date-time classes are documented here."
ncol,base,"\code{nrow} and \code{ncol} return the number of rows or columns present in \code{x}. \code{NCOL} and \code{NROW} do the same treating a vector as 1-column matrix, even a 0-length vector, compatibly with \code{\LinkA{as.matrix}{as.matrix}()} or \code{\LinkA{cbind}{cbind}()}, see the example."
nrow,base,"\code{nrow} and \code{ncol} return the number of rows or columns present in \code{x}. \code{NCOL} and \code{NROW} do the same treating a vector as 1-column matrix, even a 0-length vector, compatibly with \code{\LinkA{as.matrix}{as.matrix}()} or \code{\LinkA{cbind}{cbind}()}, see the example."
options,base,Allow the user to set and examine a variety of global \emph{options} which affect the way in which \R{} computes and displays its results.
order,base,"\code{order} returns a permutation which rearranges its first argument into ascending or descending order, breaking ties by further arguments.  \code{sort.list} does the same, using only one argument.\\{} See the examples for how to use these functions to sort data frames, etc."
paste,base,"Concatenate vectors after converting to character. Concatenation happens in two basically different ways, determined by \code{collapse} being a string or not."
paste0,base,"Concatenate vectors after converting to character. Concatenation happens in two basically different ways, determined by \code{collapse} being a string or not."
print,base,\code{print} prints its argument and returns it \emph{invisibly} (via \code{\LinkA{invisible}{invisible}(x)}).  It is a generic function which means that new printing methods can be easily added for new \code{\LinkA{class}{class}}es.
range,base,\code{range} returns a vector containing the minimum and maximum of all the given arguments.
rep,base,"\code{rep} replicates the values in \code{x}.  It is a generic function, and the (internal) default method is described here.  \code{rep.int} and \code{rep\_len} are faster simplified versions for two common cases.  Internally, they are generic, so methods can be defined for them (see \LinkA{InternalMethods}{InternalMethods})."
return,base,These functions provide the base mechanisms for defining new functions in the \R{} language.
rm,base,"\code{remove} and \code{rm} are identical \R{} functions that can be used to remove objects.  These can be specified successively as character strings, or in the character vector \code{list}, or through a combination of both.  All objects thus specified will be removed.  If \code{envir} is NULL then the currently active environment is searched first.  If \code{inherits} is \code{TRUE} then parents of the supplied directory are searched until a variable with the given name is encountered.  A warning is printed for each variable that is not found."
